"sample","row_findin","distance"
5,60,250110.04895283
5,690,250481.096709088
10,52,373734.386562048
20,766,199276.255627043
20,2479,252504.878463073
20,2480,113847.249005244
20,2481,255482.472495819
20,2505,294063.534934214
20,2506,253545.09322605
20,2507,197968.57885583
20,2508,15453.765941338
20,3047,253389.923272457
20,3048,115275.762313661
20,3049,81361.8978447781
20,3050,253656.446568808
20,3051,273059.617858491
20,3052,292447.23618583
20,3084,293655.951382918
20,3085,252179.008050642
20,3086,197324.90920141
20,3087,15415.4023349409
25,649,332708.360791805
27,181,161121.081756644
27,612,285802.648121501
27,1154,161355.363103049
27,1155,212313.177220967
31,2367,281639.432203888
44,1515,261129.599505777
46,715,328480.865316024
55,254,277607.387138979
55,1374,277888.716232388
55,2311,202350.301301972
66,2078,1038231.48356325
