"Lat","Long","c22"
0.95,-179.417,0.937737291255297
2.767,-173.933,0.786934157541877
-41.58,-171.5,0.949494358277087
19.083,-170.067,0.567391269139899
-11.183,-162.917,0.994962641576277
21.36,-158.19,0.902056992277739
-6.133,-140.85,0.337563625013392
1.817,-140.05,0.769477489567864
-14.817,-139.967,1
0.917,-134.317,0.715437899751134
41.33,-132.67,0.758454111128102
41.54,-131.96,0.686032532095906
41.58,-130.62,0.921746714792318
41.68,-130.01,0.845617647102372
41.8,-129,0.904669932801973
42.26,-127.68,0.916638993693742
42.14,-126.91,0.922974316897654
42.75,-126.26,0.735922910719757
-2.85,-126.2,0.963904192459692
42.12,-125.75,0.846354127626123
42.16,-124.94,0.796701669444287
-16.65,-124.383,0.81980808331489
-19.017,-124.233,0.800947045072306
-16.933,-121.2,1
3.167,-118.467,0.948580758913265
-17,-114.183,1
-17.017,-113.517,0.151898340251905
-8.8,-110.8,0.950328038030658
0.033,-110.483,0.939291213797743
-6.383,-106.933,0.988284463234678
-1.633,-104.833,0.896218035252835
-1.65,-103.633,0.850564505436364
-27.283,-102.083,0.977430816896792
3.333,-101.717,0.980663222463852
0.1,-95.65,0.952903927013521
-3.8,-92.083,0.74172253343634
-3.05,-90.49,0.850562405683645
-1.217,-89.683,0.62615252759226
2.983,-86.55,0.924535619366134
0.1,-86.483,0.86359140656262
0.61,-86.092,0.990476428415453
6.45,-85.822,0.936576225318523
7.167,-85.15,0.941778921774723
-3.583,-83.933,0.610270336478208
1.202,-83.737,0.963006017902886
-1.913,-82.568,0.82799175361404
15.033,-80.23,0.876769445065469
11.65,-80.13,0.973418098223805
-18.085,-79.04,0.608101879302956
-16.443,-77.563,0.39270200014832
-16.44,-77.56,0.404013867653913
-16.007,-76.378,0.264130707275437
15.065,-75.95,0.97821966611637
16.133,-74.45,0.916870524824297
17.648,-67.1667,0.822992489111802
12.09,-61.2433,0.95297381501856
62.649,-53.8845,1
17.933,-50.35,0.999136172358956
58.21,-48.3733,1
-27.9117,-45.8817,0.982602911949262
50.39,-45.26,0.244720753776581
4.2383,-43.6667,0.988890922779116
15.4,-43.4,0.971713680740853
32.75,-41.9,0.800369091025304
3.8317,-41.6217,0.977623843568842
-20.8233,-39.8633,0.959746450155316
59.522,-39.445,0.983076011440031
-30.8483,-38.3433,0.82624159853691
-3.6667,-37.7167,0.851941222976098
-4.295,-37.0917,0.864281525205785
-23.0383,-36.6517,0.880697997371641
-25.5117,-35.9983,0.27650662102095
-3.55,-35.23,0.517015136887079
-7.0533,-34.4633,0.953323002530713
-7.0117,-34.4417,0.948781572095892
-8.1983,-34.265,0.985895918185605
5.3333,-34.025,1
-8.5283,-34.0217,0.990245939223608
1.367,-33.48,0.719532086719788
2.27,-33.01,0.912623094421651
37.111,-32.2868,0.719237651936559
40.505,-32.0533,0.798624396846343
-3.6783,-32.0067,0.901579259090032
56.163,-31.99,0.0418373105014662
37.578,-31.8422,0.693742253723759
37.999,-31.1283,0.625795753483789
59.186,-30.9048,0.444724443251825
43.465,-30.66,0.356305793188939
2.3117,-30.6467,0.725756245035857
-31.6617,-29.6567,0.939210244699885
64.797,-29.5958,0.210979925922543
64.783,-29.57,0.289542646819583
-31.6667,-28.6667,0.927299998988756
55.47,-27.8883,0.130576170189974
48.215,-27.0567,0.0546302460261051
-35.2067,-26.765,0.980033551064123
55.26,-26.725,0.0518380159062991
44.36,-26.5433,0.240577332172492
-38.68,-25.78,0.976330363859692
44.017,-24.53,0.658007556191248
50,-23.75,0.0313148369165668
36.512,-23.7367,0.656323745908007
0.0067,-23.495,0.497873490093019
59.469,-23.2427,0.169196711328041
-0.2,-23.15,0.547552147551229
21.3,-22.68,0.141277701526654
52.503,-22.0623,0.0431492474474407
5.335,-22.055,1
5.335,-22.0533,0.996561608824879
3.02,-22.0317,0.497355671275587
-32.2683,-21.9667,0.61397606553685
52.567,-21.94,0.0240067931967337
50.688,-21.8635,0.0322105695408735
67.867,-21.765,0.997997796933468
5.385,-21.7517,0.939726569881035
18.433,-21.08,0.598766847194888
68.842,-20.825,1
18.998,-20.1621,0.828847935231808
19.367,-19.93,0.931603724859198
5.67,-19.8517,1
54.962,-19.755,0.198964921594477
58.629,-19.4349,0.126377837715795
9.567,-19.095,0.570069296636157
27.005,-18.9867,1
23.498,-18.7167,0.699962886487266
14.167,-18.58,0.615180396277222
21.145,-18.5733,0.916727551218638
70.362,-18.2053,0.999825737907514
15.953,-18.1333,0.622451680025174
18.118,-18.075,0.71894491559532
18.073,-18.0092,0.738691910196776
15.825,-17.8617,0.716218733137131
21.245,-17.8033,0.991704016825214
23.135,-17.745,0.811480006647821
70.117,-17.6943,1
15.48,-17.36,0.832342805129248
-15.5367,-17.0683,0.960125648303937
25.172,-16.845,0.616061597489336
54.25,-16.83,0.0492916032778314
52.425,-16.665,0.103591925044914
-19.0517,-16.6133,0.816000999188792
58.001,-16.5014,0.231493076632164
-23.825,-16.2583,0.889212259151397
26.838,-15.11,0.742692251817999
-3.815,-14.8967,0.481435241891442
-30.8117,-14.7117,0.705253956647295
55.5,-14.5833,0.0480414105162544
-36.8333,-14.4033,0.545678098919658
-24.1433,-14.0433,0.978697125293448
-17.1433,-13.9867,0.92252525502454
-10.07,-12.82,0.795627878773883
-20.3667,-12.7067,0.925264077039817
-3.5583,-12.58,0.495296425988213
-1.665,-12.4283,0.398232469530164
29.167,-12.0867,0.875598797706753
-24.1833,-12.0217,0.924543215718073
-1.35,-11.9617,0.220805045018881
-8.675,-11.845,0.750264092601683
74.997,-11.8267,0.99962163404553
3.735,-11.3983,0.623067977410632
61.872,-11.2423,0.715505793544486
61.873,-11.1787,0.712549359203874
1.6583,-10.98,0.645687391230296
-5.7783,-10.75,0.555836285129453
70.332,-10.6288,0.999893063520058
72.38,-10.5923,1
40.579,-10.3485,0.91076051936
-19.0867,-10.1917,1
-5.038,-10.19,0.562913067429337
37.767,-10.183,0.855931977278514
-37.27,-10.1,0.731457599196093
40.582,-9.8612,0.958347074625934
-15.68,-9.455,0.889332206672526
81.759,-9.4355,0.999975695658797
-36.06,-8.7783,0.821659788134173
75,-8.771,1
-29.5117,-8.305,0.667681706720312
34.892,-7.815,0.754323905294878
-3.475,-7.6,0.335442723684517
68.033,-6.117,0.978101174200313
78.855,-4.7812,1
79.6,-4.6077,0.999953186459726
-31.9,-1.33,0.50105024783168
74.177,-0.48,0.999742269858618
68.495,0.8317,0.751430021763682
66.6,1.117,0.741542924947425
81.233,2.3817,0.991549090706964
67.085,2.9083,0.859019038381088
1.95,3.5517,0.710949494995298
68.502,3.8383,0.785615012932228
77.46,4.58,0.999399305264435
66.667,4.905,0.850515388632358
-2.202,5.1017,0.683142204455689
-24.0333,5.3067,0.735729875453613
-21.735,5.4217,0.766210786132904
-22.915,6.0367,0.678517514788323
-21.88,7.1017,0.884771801710847
-24.69,7.24,0.770732763147418
72.112,7.3883,0.703341878869079
66.97,7.6393,0.444467450892943
76,8.3333,0.998398180709835
72.183,8.583,0.708885789846647
-20.104,9.1858,0.693257932897788
-6.5823,10.3186,0.403136983649216
-19.5617,11.175,0.169039250796041
-22.33,11.198,0.878016530703984
84.029,11.2383,0.999947056932706
-25.49,11.307,0.973244279584745
72.151,11.4343,0.704946173014237
-11.7705,11.6819,0.590061173272519
-29.45,11.75,0.704037166537909
-25.25,12.0217,0.929392760409049
-23.315,12.3767,0.192771505170396
-30.87,14.3433,0.691518502295606
72.225,14.4273,0.712167043732028
82.032,15.1908,1
81.367,17.4717,1
-35.125,17.5433,0.547907149028911
-35.78,18.45,0.699407713289214
81.535,30.5933,1
-31.5,32.6,0.680255517374668
-29.64,32.86,0.755706553732287
-32.12,36.02,0.93191840954268
-5.33,40.43,0.950351090628478
-6.98,41.18,0.908551748197483
-42.88,42.35,0.339364182304493
-28.43,43.78,0.891040980525682
-10.23,43.82,0.87950477841981
-35.52,44.75,0.796067095909957
-32.43,46.57,0.879540497867143
-39.02,47.88,0.509409244789241
8.98,51.73,0.554939226512777
10.25,57.18,0.913920730591246
13.27,57.35,0.85678894659191
-10.51,57.72,0.475356791781727
8.65,58.57,0.936175371349678
6.7,59.33,0.942104907684355
20.42,59.34,0.868254764310354
19.57,59.6,0.990026653012282
16.54,59.76,0.952720615318667
19.08,60.42,0.895064391406048
-3.95,60.6,0.797661515831866
6.87,60.67,0.879635108945756
-6.27,63.43,0.898801151485108
17.62,63.88,0.418587657503998
20.94,64.03,0.615628092458484
21.15,65.12,0.676212517966587
-13.22,65.62,1
19.73,66.08,0.433576053842302
15.03,66.1,0.95416791167332
17.49,67.42,0.485568104872058
-22.3,68,0.966766260430615
-21.8,69.23,0.982546642439287
-6,69.82,0.930878111699025
15.32,72.34,0.971335004310531
8.12,73.25,0.993303648693519
-27.28,74.87,0.950108672555925
10.28,75.14,0.974530043597415
3.08,76.25,0.873031339697212
7.3,76.43,0.879412666122611
5.12,77.58,0.964289343242877
-43.52,79.87,0.457188358382965
-38.54,79.9,0.688050925032726
-38.55,79.92,0.75787454555111
-39.72,82.25,0.846600713141429
-39.52,83.72,0.705634323972365
-39.9,85.41,0.648221335989669
-33.02,85.78,0.850578887409064
-30.35,86.49,0.86129445301691
-25.63,87.12,1
-10.92,88.32,0.63206942944282
11.95,88.73,0.335477337053181
18.28,89.51,0.931623341577873
13.05,89.58,0.558569966830236
-0.83,89.95,0.915250537583659
12.7,90.02,0.781716581258376
9.13,90.03,0.823188932366065
-46.05,90.17,0.794178767667132
1.47,90.17,0.938758641098765
-5.86,90.52,0.308026255500613
15.17,90.57,0.437884239224638
18.22,91.01,0.504296898982408
11.46,94.09,1
-30.07,94.42,0.667429839321943
-42.18,94.88,0.705415504761868
10.13,95.03,0.994280848106354
-47.12,95.08,0.471673715568905
12.77,96.07,0.835027179325197
-46.02,96.47,0.282225371044754
-29.7,97.58,0.770441476043549
-41.02,100.01,0.848199484341439
-43.23,105.58,1
-44.88,106.52,0.788703953851379
-23.77,108.5,0.88239985586736
-24.46,108.51,0.685868355808417
8.73,109.87,0.921416798926597
-25.48,110.02,0.722387293561936
13.78,110.25,0.638332196752194
-33.07,110.55,0.827544257380467
-9.1,111.01,0.7741677671139
14.8,111.53,0.779473017813486
-24.74,111.83,0.733192605719144
-19.89,112.25,0.989455736159687
-22.73,112.58,0.544444705643428
-20.05,112.66,0.722420854785897
-12.25,112.74,0.920461154302631
-19.06,112.75,0.738123184928203
-22.13,113.5,0.596908580890507
-33.62,113.58,0.972519110486718
-29.68,113.7,0.52055037420259
-45.04,114.35,1
-31.28,114.55,0.437837238604499
-30.99,114.59,0.488832816573773
-17.64,115,0.882303571132327
-16.92,115.54,0.867407328635144
18.75,115.87,0.262095008574207
-18.56,116.27,0.804242870884498
20.12,117.38,0.870364646484316
19.78,117.53,0.572192096742187
19.8,117.54,0.621468012085194
-4.33,117.6,0.785057413451455
-17.67,117.95,0.799814171236589
12.69,119.47,0.658042216245437
-14.1,120.5,0.857086820009529
-14.01,121.03,0.877576522170816
-11.35,122.04,0.940232147460743
15.1,124.133,0.442912308353858
25.417,125.633,0.6830389100361
28.15,127.27,0.811286319918177
2.69,127.74,0.848495987514455
-8.46,128.24,0.98076064570903
28.533,134.133,0.913136701460392
11.067,138.533,0.655425048320667
8.02,139.64,0.832443046713462
28.433,139.967,0.849377551810612
-38.86,140.1,0.640332254410628
-38.85,141.06,0.644800658642899
3.53,141.86,0.510654991795664
-42.25,144.75,0.924384430071098
-46.45,145.24,0.855704352859215
-43.8,145.5,0.919764328067167
-46.87,145.98,0.957245432461389
-45.87,145.99,0.938112262694257
-12.87,146.2,0.88064798103089
-45.15,146.28,0.826772303866063
-13.52,146.88,0.908607770229912
-45.07,147.23,0.551104713188856
-14.95,147.92,0.868692979841118
-44.53,149.05,0.899401144939466
-44.26,150,0.905061392231174
-43.92,150.05,0.77155515872501
31.567,151.1,0.958466325432028
-18.2,151.45,0.940871597634847
-25.88,157.87,0.767451297291872
-14.53,157.97,0.92044617672471
33.083,158,0.974237429416219
3.25,159.18,0.780493331594848
3.25,159.183,0.802786850260704
-1.17,160.01,0.414884808110788
1.02,160.48,0.752883779831179
1.017,160.483,0.884623157548836
-26.11,161.23,0.944884598894746
-33.38,161.61,0.475139000200953
37.683,163.033,0.597490351153971
-24.88,163.52,0.934018320273249
-31.58,164.45,0.567091693469467
-36.47,165.44,0.831464660584751
-15.29,166.28,0.956041767836012
-33.53,166.53,0.399580707840195
-5.5,166.75,1
-40.51,167.67,0.691381519433037
51.27,167.73,1
51.2,167.77,0.995212016963846
-40.28,168.34,0.700371236609556
-33.233,168.733,0.896616651418728
47.95,168.783,0.910185456784007
-26,169.2,0.886846034521223
0.867,172,0.622955238669662
-46,172.03,0.142696763242271
-28.75,172.6,0.88445575296193
-45.52,174.95,0.100901037730796
-14.52,177.1,1
36.467,177.167,0.923705324823578
35.317,177.9,0.909076779658399
-40.4,178,0.68054912815812
-35.31,178,0.516853701702836
-45.08,179.5,0.221296346863959
