"sample","row_findin","distance","Core","Coring.device","Lat","Long","Water.depth..m.","Ocean","Sample.depth...upper..m.","Sample.depth...lower..m.","calendar.age.estimate..cal.ky.BP.","Chronostratigraphic.quality..chronozone.level.","sed_rate_cmky","Laboratory","Instrument","Publication","added.by..name.","date.of.addition","Orbulina_universa","Globigerinoides_conglobatus","Globigerinoides_ruber","Globigerinoides_white","Globigerinoides_tenellus","Trilobatus_sacculifer","Sphaeroidinella_dehiscens","Globigerinella_adamsi","Globigerinella_siphonifera","Globigerinella_calida","Globigerina_bulloides","Globigerina_falconensis","Beella_digitata","Globoturborotalita_rubescens","Turborotalita_humilis","Turborotalita_quinqueloba","Neogloboquadrina_pachyderma","Neogloboquadrina_incompta","Neogloboquadrina_dutertrei","Globoquadrina_conglomerata","Globorotaloides_hexagonus","Pulleniatina_obliquiloculata","Globoconella_inflata","Globorotalia_truncatulinoides","Globorotalia_crassaformis","Globorotalia_hirsuta","Globorotalia_scitula","Dentigloborotalia_anfracta","Globorotalia_menardii","Globorotalia_tumida","Candeina_nitida","Globigerinita_glutinata","Globorotalia_theyeri","Tenuitella_iota","Globigerinita_uvula","unidentified","Count","Type","Sum","Berggrenia_pumilio","Globigerinita_minuta","Globorotalia_ungulata"
"A5",773,857035.566701946,"E45-078","",-45.04,114.35,4031,"Indo-Pacific",0.31,0,"",4,1.5,"",0,"Prell et al. (1980)","TTB","01/01/03",1,0,0,0,0,0,0,0,0,0,155,0,0,0,1,17,43,14,0,0,0,0,52,4,1,0,1,0,0,0,0,11,0,0,0,0,0,0,300,0,0,0
"A10",835,229828.927815669,"RC14-009","",-39.02,47.88,2692,"Indo-Pacific",0.7,0,"",2,3.4,"",0,"Prell et al. (1980)","TTB","01/01/03",1,0,0,3,0,0,0,0,1,0,77,2,0,1,0,26,17,122,3,0,0,0,35,5,0,2,0,0,0,0,0,6,0,0,0,0,0,0,301,0,0,0
"A20",822,199384.697506059,"RC11-145","",-25.48,110.02,3911,"Indo-Pacific",0.29,0,"",2,1.4,"",0,"Wells and Wells (1994); Prell et al. (1980)","TTB","01/01/03",2,2,0,56,1,0,0,0,4,1,6,11,0,0,0,0,0,3,13,0,0,0,158,5,2,0,0,0,1,0,0,62,0,0,0,4,0,0,331,0,0,0
"A25",662,169484.149130221,"GeoB1417-1","",-20.3667,-12.7067,-2845,"South Atlantic",0.33,0,"",0,NA,"Bremen",0,"Niebler et al. (in press)","M.W.","May-03",0.93,0.56,0.85,24.65,2.58,6.44,0,0,2.74,0.44,18.49,1.53,0.16,5.48,0,0.32,0,5.96,1.01,0,0,0,8.5,6.32,1.77,0,2.58,0.64,0.08,0,0.16,7.81,0,0,0,0,696,1,99.36,0,0,0
"A25",663,169484.149130221,"GeoB1417-1","",-20.3667,-12.7067,-2845,"South Atlantic",0.38,0,"",0,NA,"Bremen",0,"Niebler et al. (in press)","M.W.","May-03",1,1.22,0.78,24.28,2.43,8.25,0,0,2.22,1.13,17.07,2.52,0.61,4,0.7,0,0,1.99,0.78,0,0,0,11.95,6.39,1.87,0,1.04,0,0,0.04,0.22,9.47,0,0.35,0,0.04,713,1,99.92,0,0,0
"A27",874,463758.287784883,"V20-175","",-22.3,68,3526,"Indo-Pacific",0.3,0,"",2,1.5,"",0,"Prell et al. (1980)","TTB","01/01/03",4,5,0,121,12,0,1,0,5,16,7,2,5,10,1,1,0,0,5,0,0,1,1,18,1,2,3,0,2,0,1,50,0,0,0,0,0,0,274,0,0,0
"A31",833,431210.135631339,"RC13-038","",-14.52,177.1,2867,"Indo-Pacific",0.4,0,"",3,1.9,"",0,"Barrows et al. (2000)","TTB","01/01/03",13,12,0,200,14,0,0,0,20,19,13,7,3,6,0,3,0,2,11,0,0,3,0,0,2,0,1,0,1,5,0,154,0,0,0,0,0,0,489,0,0,0
"A44",888,260615.459025377,"V29-048","",-6.27,63.43,3882,"Indo-Pacific",0.2,0,"",2,1,"",0,"Prell et al. (1980)","TTB","01/01/03",3,11,0,60,2,0,1,0,15,9,9,0,3,2,0,0,0,12,47,1,6,14,0,0,2,0,4,0,39,4,0,26,0,0,0,0,0,0,270,0,0,0
"A46",901,740792.206493414,"KH92-1-5a","Piston",3.53,141.86,2283,"Pacific, Eauripic-New Guinea Rise",0.222,0,"20.3",0,NA,"",0,"Kimoto et al., 2003. Marine Micropaleontology","Huang, C.C. & Chen, M.T.","Jun-03",0,0.5,0,31,1.5,3.5,0,0,18.5,0,5.5,1.5,0,0.5,0,0,0,0,3.5,0,0,4.5,0,0,0,0,0,0,1.75,1.75,0.5,25.5,0,0,0,0,100,1,100,0,0,0
"A55",452,384209.481489965,"V23-100","",21.3,-22.68,-4579,"North Atlantic",0.38,0,"",0,NA,"Kiel",0,"Pflaumann et al. (in press)","M. W. ","20/05/07",3.1,0,0,7.4,0.5,3.3,0,0,3.8,0.3,9.7,1.8,0,0,1,0.3,5.1,2,0,0,0,13.8,0.3,1.5,46.7,0,0,0,0,0,0,0,0,0,0,0,0,1,100.6,0,0,0
